epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,77602,0.93117,0.74584,1.15806,0.83025,0.74291,0.83373,0.61891,0.86149,0.61539,1.08879,0.003169,0.003169,0.003169
71,78709.5,0.92941,0.74488,1.1583,0.82952,0.7451,0.83402,0.6192,0.8603,0.61446,1.08865,0.00307,0.00307,0.00307
72,79815.8,0.9255,0.73691,1.15568,0.82964,0.74482,0.83335,0.61965,0.85909,0.61426,1.08737,0.002971,0.002971,0.002971
73,80921.3,0.92452,0.73393,1.15175,0.8321,0.74313,0.83408,0.62015,0.85862,0.61365,1.08623,0.002872,0.002872,0.002872
74,82028.1,0.92067,0.72741,1.14693,0.8279,0.74361,0.83492,0.6206,0.85732,0.61215,1.08478,0.002773,0.002773,0.002773
75,83135.2,0.91756,0.72389,1.14777,0.83058,0.744,0.83514,0.62055,0.85739,0.61125,1.08518,0.002674,0.002674,0.002674
76,84241.3,0.9154,0.72033,1.14473,0.82852,0.74555,0.83507,0.62124,0.85722,0.60969,1.08529,0.002575,0.002575,0.002575
77,85348.3,0.91054,0.71614,1.1431,0.83242,0.74291,0.83561,0.62159,0.85703,0.60904,1.08459,0.002476,0.002476,0.002476
78,86455.1,0.90766,0.70853,1.13557,0.82861,0.74513,0.83596,0.62202,0.85666,0.60844,1.08343,0.002377,0.002377,0.002377
79,87562.9,0.90327,0.70513,1.13447,0.82676,0.748,0.83588,0.62212,0.85535,0.60835,1.08167,0.002278,0.002278,0.002278
80,88671.2,0.89867,0.70064,1.13273,0.82741,0.74764,0.83651,0.62235,0.85546,0.60893,1.08175,0.002179,0.002179,0.002179
81,89780.5,0.89697,0.69684,1.13123,0.82854,0.74655,0.83604,0.62229,0.85523,0.60779,1.08095,0.00208,0.00208,0.00208
82,90892.6,0.89141,0.69012,1.12671,0.83481,0.74146,0.83664,0.62293,0.85477,0.60649,1.07993,0.001981,0.001981,0.001981
83,92001.9,0.88805,0.68524,1.12999,0.83569,0.74446,0.83759,0.62314,0.85491,0.60549,1.08008,0.001882,0.001882,0.001882
84,93108.5,0.88208,0.67815,1.1255,0.83816,0.74464,0.83848,0.62364,0.85389,0.60518,1.07975,0.001783,0.001783,0.001783
85,94215.1,0.87933,0.67567,1.12102,0.83374,0.74691,0.83842,0.62339,0.85316,0.60566,1.07911,0.001684,0.001684,0.001684
86,95323.4,0.87255,0.6678,1.12007,0.83694,0.74443,0.83846,0.62386,0.85313,0.60709,1.07977,0.001585,0.001585,0.001585
87,96430.6,0.86986,0.66418,1.11907,0.83887,0.74237,0.83841,0.62448,0.85244,0.60697,1.07953,0.001486,0.001486,0.001486
88,97537,0.86657,0.65763,1.11098,0.83809,0.74546,0.83851,0.62488,0.85137,0.60696,1.0786,0.001387,0.001387,0.001387
89,98642.9,0.86011,0.64971,1.11105,0.84038,0.74373,0.83873,0.62517,0.85185,0.60616,1.07911,0.001288,0.001288,0.001288
90,99750.4,0.85508,0.64267,1.10815,0.83414,0.74791,0.83928,0.62495,0.85206,0.60624,1.07944,0.001189,0.001189,0.001189
91,100856,0.81,0.559,1.05878,0.83746,0.74573,0.83945,0.62506,0.85157,0.60633,1.07942,0.00109,0.00109,0.00109
92,101959,0.80465,0.55081,1.05629,0.83646,0.74618,0.83989,0.62561,0.85103,0.60592,1.08032,0.000991,0.000991,0.000991
93,103064,0.79607,0.54001,1.04838,0.8349,0.74755,0.83979,0.62613,0.85155,0.60464,1.0806,0.000892,0.000892,0.000892
94,104169,0.79183,0.532,1.04761,0.83566,0.74815,0.83918,0.6261,0.85232,0.60449,1.08123,0.000793,0.000793,0.000793
95,105275,0.78369,0.52096,1.04026,0.83452,0.75036,0.8391,0.62569,0.85425,0.60424,1.0828,0.000694,0.000694,0.000694
96,106378,0.77678,0.5127,1.0366,0.83766,0.74873,0.83939,0.62537,0.856,0.60382,1.08428,0.000595,0.000595,0.000595
97,107482,0.77139,0.50404,1.0315,0.83305,0.75182,0.83918,0.6251,0.85674,0.60385,1.08476,0.000496,0.000496,0.000496
98,108587,0.76268,0.49332,1.02454,0.83519,0.75127,0.83899,0.62423,0.85808,0.60389,1.08497,0.000397,0.000397,0.000397
99,109692,0.75806,0.48435,1.02059,0.83468,0.752,0.83869,0.62387,0.85921,0.60431,1.08499,0.000298,0.000298,0.000298
100,110795,0.74945,0.47523,1.01266,0.83473,0.753,0.83823,0.62311,0.86043,0.60592,1.08477,0.000199,0.000199,0.000199
